season,latitude,longitude,count
Autumn,-32.0,126.0,9
Autumn,-32.0,127.0,5
Autumn,-32.0,129.0,1
Autumn,-32.0,138.0,2
Autumn,-32.0,142.0,4
Autumn,-32.0,143.0,2
Autumn,-32.0,146.0,3
Autumn,-32.0,149.0,3
Autumn,-32.0,150.0,4
Autumn,-32.0,152.0,18
Autumn,-32.0,153.0,20
Autumn,-33.0,116.0,3
Autumn,-33.0,117.0,7
Autumn,-33.0,121.0,2
Autumn,-33.0,137.0,2
Autumn,-33.0,138.0,1
Autumn,-33.0,139.0,2
Autumn,-33.0,140.0,1
Autumn,-33.0,146.0,5
Autumn,-33.0,148.0,1
Autumn,-33.0,149.0,9
Autumn,-33.0,150.0,12
Autumn,-33.0,151.0,5
Autumn,-33.0,152.0,2
Autumn,-34.0,115.0,1
Autumn,-34.0,116.0,2
Autumn,-34.0,119.0,2
Autumn,-34.0,122.0,1
Autumn,-34.0,138.0,2
Autumn,-34.0,139.0,2
Autumn,-34.0,140.0,3
Autumn,-34.0,141.0,10
Autumn,-34.0,142.0,5
Autumn,-34.0,147.0,2
Autumn,-34.0,148.0,23
Autumn,-34.0,149.0,21
Autumn,-34.0,151.0,16
Autumn,-35.0,138.0,5
Autumn,-35.0,139.0,36
Autumn,-35.0,142.0,8
Autumn,-35.0,144.0,1
Autumn,-35.0,145.0,3
Autumn,-35.0,146.0,1
Autumn,-35.0,147.0,5
Autumn,-35.0,149.0,25
Autumn,-36.0,141.0,1
Autumn,-36.0,142.0,8
Autumn,-36.0,143.0,5
Autumn,-36.0,144.0,23
Autumn,-36.0,145.0,6
Autumn,-36.0,146.0,26
Autumn,-36.0,147.0,36
Autumn,-36.0,149.0,5
Autumn,-37.0,141.0,1
Autumn,-37.0,142.0,3
Autumn,-37.0,143.0,1
Autumn,-37.0,144.0,28
Autumn,-37.0,145.0,12
Autumn,-37.0,146.0,5
Autumn,-37.0,148.0,7
Autumn,-38.0,144.0,12
Autumn,-38.0,145.0,1
Autumn,-11.0,131.0,5
Autumn,-11.0,142.0,36
Autumn,-12.0,135.0,4
Autumn,-12.0,137.0,3
Autumn,-13.0,136.0,3
Autumn,-15.0,135.0,3
Autumn,-15.0,144.0,4
Autumn,-15.0,145.0,12
Autumn,-16.0,123.0,13
Autumn,-16.0,130.0,15
Autumn,-16.0,132.0,1
Autumn,-17.0,123.0,16
Autumn,-17.0,124.0,2
Autumn,-17.0,125.0,8
Autumn,-17.0,128.0,10
Autumn,-17.0,133.0,3
Autumn,-17.0,139.0,1
Autumn,-18.0,124.0,6
Autumn,-18.0,134.0,3
Autumn,-18.0,144.0,8
Autumn,-19.0,123.0,8
Autumn,-20.0,121.0,7
Autumn,-20.0,139.0,14
Autumn,-20.0,148.0,25
Autumn,-20.0,149.0,2
Autumn,-21.0,118.0,3
Autumn,-21.0,134.0,1
Autumn,-21.0,142.0,1
Autumn,-21.0,143.0,2
Autumn,-21.0,145.0,1
Autumn,-21.0,148.0,2
Autumn,-22.0,120.0,3
Autumn,-22.0,121.0,2
Autumn,-22.0,140.0,1
Autumn,-22.0,142.0,1
Autumn,-22.0,149.0,2
Autumn,-22.0,150.0,3
Autumn,-23.0,117.0,1
Autumn,-23.0,118.0,2
Autumn,-23.0,142.0,3
Autumn,-24.0,133.0,1
Autumn,-24.0,149.0,4
Autumn,-24.0,150.0,2
Autumn,-25.0,133.0,1
Autumn,-25.0,148.0,1
Autumn,-25.0,151.0,5
Autumn,-26.0,136.0,1
Autumn,-27.0,144.0,3
Autumn,-11.0,136.0,1
Autumn,-12.0,133.0,3
Autumn,-12.0,143.0,1
Autumn,-13.0,130.0,2
Autumn,-13.0,143.0,4
Autumn,-14.0,133.0,1
Autumn,-14.0,134.0,3
Autumn,-14.0,143.0,1
Autumn,-15.0,126.0,10
Autumn,-15.0,129.0,1
Autumn,-15.0,130.0,8
Autumn,-16.0,126.0,10
Autumn,-16.0,127.0,2
Autumn,-16.0,131.0,11
Autumn,-18.0,125.0,4
Autumn,-18.0,139.0,1
Autumn,-19.0,127.0,1
Autumn,-20.0,120.0,3
Autumn,-20.0,140.0,3
Autumn,-22.0,115.0,6
Autumn,-22.0,118.0,1
Autumn,-22.0,122.0,1
Autumn,-22.0,132.0,1
Autumn,-22.0,145.0,1
Autumn,-23.0,114.0,4
Autumn,-23.0,127.0,1
Autumn,-24.0,117.0,1
Autumn,-24.0,119.0,1
Autumn,-25.0,114.0,7
Autumn,-25.0,116.0,1
Winter,-11.0,142.0,37
Winter,-12.0,131.0,1093
Winter,-12.0,132.0,1
Winter,-12.0,133.0,105
Winter,-12.0,136.0,11
Winter,-12.0,137.0,61
Winter,-12.0,142.0,11
Winter,-13.0,130.0,2
Winter,-13.0,131.0,232
Winter,-13.0,132.0,62
Winter,-13.0,133.0,248
Winter,-13.0,136.0,4
Winter,-13.0,142.0,38
Winter,-13.0,143.0,141
Winter,-14.0,126.0,8
Winter,-14.0,127.0,10
Winter,-14.0,131.0,22
Winter,-14.0,132.0,318
Winter,-14.0,134.0,1
Winter,-15.0,126.0,49
Winter,-15.0,127.0,1
Winter,-15.0,128.0,11
Winter,-15.0,130.0,2
Winter,-15.0,132.0,78
Winter,-15.0,133.0,71
Winter,-15.0,144.0,76
Winter,-15.0,145.0,65
Winter,-16.0,123.0,13
Winter,-16.0,124.0,4
Winter,-16.0,126.0,36
Winter,-16.0,127.0,25
Winter,-16.0,128.0,175
Winter,-16.0,129.0,292
Winter,-16.0,130.0,36
Winter,-16.0,131.0,37
Winter,-16.0,132.0,2
Winter,-16.0,135.0,2
Winter,-16.0,145.0,257
Winter,-17.0,123.0,24
Winter,-17.0,124.0,31
